# k[h/Mpc]  P(k)  P(k)_shot_subtracted  N_modes
0.00539888  0  0  0
0.00629463  0  0  0
0.007339  0  0  0
0.00855664  -1.03801e+06  0  6
0.00997631  0  0  0
0.0116315  -1.03802e+06  0  12
0.0135614  0  0  0
0.0158114  -1.03801e+06  0  8
0.0184347  -1.03802e+06  0  30
0.0214933  -1.03802e+06  0  24
0.0250594  -1.03802e+06  0  42
0.0292171  -1.03802e+06  0  56
0.0340646  -1.03802e+06  0  126
0.0397164  -1.03802e+06  0  156
0.0463059  -1.03802e+06  0  278
0.0539888  -1.03802e+06  0  474
0.0629463  -1.03802e+06  0  722
0.07339  -1.03802e+06  0  1034
0.0855664  -1.03802e+06  0  1832
0.0997631  -1.03802e+06  0  2720
0.116315  -1.03802e+06  0  4460
0.135614  -1.03802e+06  0  6968
0.158114  -1.03802e+06  0  11146
0.184347  -1.03802e+06  0  17738
0.214933  -1.03802e+06  0  27612
0.250594  -1.03802e+06  0  44380
0.292171  -1.03802e+06  0  61305
0.340646  -1.03802e+06  0  53312
0.397164  -1.03802e+06  0  24993
0.463059  -1.03802e+06  0  2709
