# k[h/Mpc]  delta_P  P_classical  P_quantum
0.00539888  0  0  0
0.00629463  0  0  0
0.007339  0  0  0
0.00855664  0  0  0
0.00997631  0  0  0
0.0116315  0  0  0
0.0135614  0  0  0
0.0158114  0  0  0
0.0184347  0  0  0
0.0214933  0  0  0
0.0250594  0  0  0
0.0292171  0  0  0
0.0340646  0  0  0
0.0397164  0  0  0
0.0463059  0  0  0
0.0539888  0  0  0
0.0629463  0  0  0
0.07339  0  0  0
0.0855664  0  0  0
0.0997631  0  0  0
0.116315  0  0  0
0.135614  0  0  0
0.158114  0  0  0
0.184347  0  0  0
0.214933  0  0  0
0.250594  0  0  0
0.292171  0  0  0
0.340646  0  0  0
0.397164  0  0  0
0.463059  0  0  0
