# k[h/Mpc]   P(k)[(Mpc/h)^3]
0.001   5798.33
0.00100231   5810.53
0.00100462   5822.75
0.00100693   5835
0.00100926   5847.26
0.00101158   5859.56
0.00101391   5871.87
0.00101625   5884.21
0.0010186   5896.57
0.00102094   5908.95
0.0010233   5921.36
0.00102566   5933.79
0.00102802   5946.24
0.00103039   5958.72
0.00103277   5971.22
0.00103515   5983.74
0.00103754   5996.29
0.00103993   6008.86
0.00104233   6021.46
0.00104473   6034.08
0.00104714   6046.72
0.00104956   6059.38
0.00105198   6072.07
0.0010544   6084.78
0.00105683   6097.52
0.00105927   6110.28
0.00106171   6123.07
0.00106416   6135.87
0.00106661   6148.71
0.00106907   6161.56
0.00107154   6174.44
0.00107401   6187.34
0.00107649   6200.27
0.00107897   6213.22
0.00108146   6226.2
0.00108395   6239.2
0.00108645   6252.22
0.00108895   6265.27
0.00109146   6278.34
0.00109398   6291.44
0.0010965   6304.56
0.00109903   6317.7
0.00110157   6330.87
0.00110411   6344.06
0.00110665   6357.28
0.0011092   6370.52
0.00111176   6383.78
0.00111432   6397.07
0.00111689   6410.39
0.00111947   6423.73
0.00112205   6437.09
0.00112464   6450.48
0.00112723   6463.89
0.00112983   6477.33
0.00113244   6490.79
0.00113505   6504.27
0.00113766   6517.78
0.00114029   6531.32
0.00114292   6544.88
0.00114555   6558.46
0.00114819   6572.07
0.00115084   6585.71
0.00115349   6599.37
0.00115615   6613.05
0.00115882   6626.76
0.00116149   6640.49
0.00116417   6654.25
0.00116685   6668.03
0.00116955   6681.84
0.00117224   6695.67
0.00117494   6709.53
0.00117765   6723.41
0.00118037   6737.32
0.00118309   6751.25
0.00118582   6765.21
0.00118855   6779.19
0.00119129   6793.2
0.00119404   6807.23
0.00119679   6821.29
0.00119955   6835.37
0.00120232   6849.48
0.00120509   6863.62
0.00120787   6877.78
0.00121066   6891.96
0.00121345   6906.17
0.00121625   6920.41
0.00121905   6934.67
0.00122186   6948.95
0.00122468   6963.26
0.0012275   6977.6
0.00123033   6991.96
0.00123317   7006.35
0.00123601   7020.76
0.00123886   7035.2
0.00124172   7049.67
0.00124458   7064.16
0.00124745   7078.67
0.00125033   7093.21
0.00125321   7107.78
0.0012561   7122.37
0.001259   7136.99
0.0012619   7151.63
0.00126481   7166.3
0.00126773   7181
0.00127065   7195.72
0.00127358   7210.47
0.00127652   7225.24
0.00127946   7240.04
0.00128241   7254.86
0.00128537   7269.71
0.00128833   7284.59
0.0012913   7299.49
0.00129428   7314.42
0.00129726   7329.38
0.00130025   7344.36
0.00130325   7359.36
0.00130626   7374.39
0.00130927   7389.45
0.00131229   7404.54
0.00131531   7419.65
0.00131835   7434.78
0.00132139   7449.95
0.00132443   7465.14
0.00132749   7480.35
0.00133055   7495.59
0.00133362   7510.86
0.00133669   7526.15
0.00133977   7541.47
0.00134286   7556.82
0.00134596   7572.19
0.00134906   7587.59
0.00135217   7603.02
0.00135529   7618.47
0.00135842   7633.95
0.00136155   7649.45
0.00136469   7664.98
0.00136784   7680.54
0.00137099   7696.13
0.00137415   7711.74
0.00137732   7727.37
0.0013805   7743.04
0.00138368   7758.73
0.00138687   7774.44
0.00139007   7790.19
0.00139327   7805.96
0.00139648   7821.75
0.0013997   7837.58
0.00140293   7853.42
0.00140617   7869.3
0.00140941   7885.2
0.00141266   7901.13
0.00141592   7917.09
0.00141918   7933.07
0.00142245   7949.08
0.00142573   7965.12
0.00142902   7981.18
0.00143232   7997.27
0.00143562   8013.39
0.00143893   8029.53
0.00144225   8045.7
0.00144557   8061.9
0.00144891   8078.13
0.00145225   8094.38
0.0014556   8110.66
0.00145895   8126.96
0.00146232   8143.29
0.00146569   8159.65
0.00146907   8176.04
0.00147245   8192.45
0.00147585   8208.89
0.00147925   8225.36
0.00148266   8241.85
0.00148608   8258.37
0.00148951   8274.92
0.00149294   8291.49
0.00149639   8308.1
0.00149984   8324.73
0.0015033   8341.38
0.00150676   8358.07
0.00151024   8374.78
0.00151372   8391.51
0.00151721   8408.28
0.00152071   8425.07
0.00152421   8441.89
0.00152773   8458.74
0.00153125   8475.61
0.00153478   8492.51
0.00153832   8509.44
0.00154187   8526.39
0.00154542   8543.37
0.00154899   8560.38
0.00155256   8577.42
0.00155614   8594.48
0.00155973   8611.58
0.00156332   8628.69
0.00156693   8645.84
0.00157054   8663.01
0.00157416   8680.21
0.00157779   8697.44
0.00158143   8714.7
0.00158508   8731.98
0.00158873   8749.29
0.00159239   8766.63
0.00159607   8783.99
0.00159975   8801.38
0.00160343   8818.8
0.00160713   8836.25
0.00161084   8853.72
0.00161455   8871.23
0.00161827   8888.75
0.00162201   8906.31
0.00162575   8923.9
0.00162949   8941.51
0.00163325   8959.15
0.00163702   8976.81
0.00164079   8994.5
0.00164458   9012.23
0.00164837   9029.97
0.00165217   9047.75
0.00165598   9065.55
0.0016598   9083.38
0.00166362   9101.24
0.00166746   9119.13
0.00167131   9137.04
0.00167516   9154.98
0.00167902   9172.95
0.00168289   9190.95
0.00168677   9208.97
0.00169066   9227.02
0.00169456   9245.1
0.00169847   9263.21
0.00170238   9281.34
0.00170631   9299.5
0.00171024   9317.69
0.00171419   9335.91
0.00171814   9354.15
0.0017221   9372.42
0.00172607   9390.72
0.00173005   9409.05
0.00173404   9427.4
0.00173804   9445.78
0.00174205   9464.19
0.00174607   9482.63
0.00175009   9501.09
0.00175413   9519.58
0.00175817   9538.1
0.00176223   9556.65
0.00176629   9575.22
0.00177036   9593.82
0.00177444   9612.45
0.00177854   9631.11
0.00178264   9649.79
0.00178675   9668.5
0.00179087   9687.24
0.001795   9706.01
0.00179914   9724.8
0.00180328   9743.63
0.00180744   9762.48
0.00181161   9781.35
0.00181579   9800.26
0.00181997   9819.19
0.00182417   9838.15
0.00182838   9857.13
0.00183259   9876.15
0.00183682   9895.19
0.00184105   9914.26
0.0018453   9933.36
0.00184955   9952.48
0.00185382   9971.63
0.00185809   9990.81
0.00186238   10010
0.00186667   10029.3
0.00187098   10048.5
0.00187529   10067.8
0.00187961   10087.1
0.00188395   10106.5
0.00188829   10125.8
0.00189265   10145.2
0.00189701   10164.7
0.00190138   10184.1
0.00190577   10203.6
0.00191016   10223.1
0.00191457   10242.6
0.00191898   10262.2
0.00192341   10281.8
0.00192784   10301.4
0.00193229   10321
0.00193674   10340.7
0.00194121   10360.4
0.00194568   10380.1
0.00195017   10399.9
0.00195467   10419.7
0.00195917   10439.5
0.00196369   10459.3
0.00196822   10479.2
0.00197276   10499.1
0.00197731   10519
0.00198187   10538.9
0.00198644   10558.9
0.00199102   10578.9
0.00199561   10598.9
0.00200021   10619
0.00200482   10639.1
0.00200944   10659.2
0.00201408   10679.3
0.00201872   10699.5
0.00202338   10719.7
0.00202804   10739.9
0.00203272   10760.1
0.0020374   10780.4
0.0020421   10800.7
0.00204681   10821
0.00205153   10841.4
0.00205626   10861.7
0.002061   10882.1
0.00206575   10902.6
0.00207052   10923
0.00207529   10943.5
0.00208008   10964
0.00208487   10984.6
0.00208968   11005.1
0.0020945   11025.7
0.00209933   11046.3
0.00210417   11067
0.00210902   11087.7
0.00211388   11108.4
0.00211876   11129.1
0.00212364   11149.8
0.00212854   11170.6
0.00213345   11191.4
0.00213837   11212.2
0.0021433   11233.1
0.00214824   11254
0.00215319   11274.9
0.00215816   11295.8
0.00216314   11316.8
0.00216812   11337.8
0.00217312   11358.8
0.00217813   11379.9
0.00218316   11400.9
0.00218819   11422
0.00219324   11443.1
0.00219829   11464.3
0.00220336   11485.5
0.00220844   11506.7
0.00221353   11527.9
0.00221864   11549.2
0.00222375   11570.4
0.00222888   11591.7
0.00223402   11613.1
0.00223917   11634.4
0.00224434   11655.8
0.00224951   11677.2
0.0022547   11698.7
0.0022599   11720.1
0.00226511   11741.6
