# k[h/Mpc]   P(k)[(Mpc/h)^3]
0.001   5.90025e+06
0.00100231   5.91266e+06
0.00100462   5.9251e+06
0.00100693   5.93756e+06
0.00100926   5.95004e+06
0.00101158   5.96255e+06
0.00101391   5.97508e+06
0.00101625   5.98763e+06
0.0010186   6.00021e+06
0.00102094   6.01281e+06
0.0010233   6.02544e+06
0.00102566   6.03809e+06
0.00102802   6.05076e+06
0.00103039   6.06346e+06
0.00103277   6.07618e+06
0.00103515   6.08892e+06
0.00103754   6.10169e+06
0.00103993   6.11448e+06
0.00104233   6.1273e+06
0.00104473   6.14014e+06
0.00104714   6.153e+06
0.00104956   6.16589e+06
0.00105198   6.1788e+06
0.0010544   6.19174e+06
0.00105683   6.2047e+06
0.00105927   6.21768e+06
0.00106171   6.23069e+06
0.00106416   6.24372e+06
0.00106661   6.25678e+06
0.00106907   6.26986e+06
0.00107154   6.28297e+06
0.00107401   6.2961e+06
0.00107649   6.30925e+06
0.00107897   6.32243e+06
0.00108146   6.33564e+06
0.00108395   6.34886e+06
0.00108645   6.36212e+06
0.00108895   6.37539e+06
0.00109146   6.38869e+06
0.00109398   6.40202e+06
0.0010965   6.41537e+06
0.00109903   6.42875e+06
0.00110157   6.44215e+06
0.00110411   6.45557e+06
0.00110665   6.46902e+06
0.0011092   6.48249e+06
0.00111176   6.49599e+06
0.00111432   6.50952e+06
0.00111689   6.52306e+06
0.00111947   6.53664e+06
0.00112205   6.55024e+06
0.00112464   6.56386e+06
0.00112723   6.57751e+06
0.00112983   6.59118e+06
0.00113244   6.60488e+06
0.00113505   6.6186e+06
0.00113766   6.63235e+06
0.00114029   6.64612e+06
0.00114292   6.65992e+06
0.00114555   6.67374e+06
0.00114819   6.68759e+06
0.00115084   6.70146e+06
0.00115349   6.71536e+06
0.00115615   6.72929e+06
0.00115882   6.74324e+06
0.00116149   6.75721e+06
0.00116417   6.77121e+06
0.00116685   6.78524e+06
0.00116955   6.79929e+06
0.00117224   6.81336e+06
0.00117494   6.82746e+06
0.00117765   6.84159e+06
0.00118037   6.85574e+06
0.00118309   6.86992e+06
0.00118582   6.88412e+06
0.00118855   6.89835e+06
0.00119129   6.9126e+06
0.00119404   6.92688e+06
0.00119679   6.94119e+06
0.00119955   6.95552e+06
0.00120232   6.96988e+06
0.00120509   6.98426e+06
0.00120787   6.99867e+06
0.00121066   7.0131e+06
0.00121345   7.02756e+06
0.00121625   7.04205e+06
0.00121905   7.05656e+06
0.00122186   7.07109e+06
0.00122468   7.08566e+06
0.0012275   7.10025e+06
0.00123033   7.11486e+06
0.00123317   7.1295e+06
0.00123601   7.14417e+06
0.00123886   7.15886e+06
0.00124172   7.17358e+06
0.00124458   7.18832e+06
0.00124745   7.20309e+06
0.00125033   7.21789e+06
0.00125321   7.23271e+06
0.0012561   7.24756e+06
0.001259   7.26244e+06
0.0012619   7.27734e+06
0.00126481   7.29227e+06
0.00126773   7.30722e+06
0.00127065   7.3222e+06
0.00127358   7.33721e+06
0.00127652   7.35224e+06
0.00127946   7.3673e+06
0.00128241   7.38238e+06
0.00128537   7.39749e+06
0.00128833   7.41263e+06
0.0012913   7.4278e+06
0.00129428   7.44299e+06
0.00129726   7.4582e+06
0.00130025   7.47345e+06
0.00130325   7.48872e+06
0.00130626   7.50401e+06
0.00130927   7.51934e+06
0.00131229   7.53469e+06
0.00131531   7.55006e+06
0.00131835   7.56547e+06
0.00132139   7.5809e+06
0.00132443   7.59635e+06
0.00132749   7.61183e+06
0.00133055   7.62734e+06
0.00133362   7.64288e+06
0.00133669   7.65844e+06
0.00133977   7.67403e+06
0.00134286   7.68965e+06
0.00134596   7.70529e+06
0.00134906   7.72096e+06
0.00135217   7.73666e+06
0.00135529   7.75238e+06
0.00135842   7.76813e+06
0.00136155   7.78391e+06
0.00136469   7.79971e+06
0.00136784   7.81554e+06
0.00137099   7.8314e+06
0.00137415   7.84729e+06
0.00137732   7.8632e+06
0.0013805   7.87914e+06
0.00138368   7.8951e+06
0.00138687   7.9111e+06
0.00139007   7.92711e+06
0.00139327   7.94316e+06
0.00139648   7.95924e+06
0.0013997   7.97534e+06
0.00140293   7.99147e+06
0.00140617   8.00762e+06
0.00140941   8.0238e+06
0.00141266   8.04001e+06
0.00141592   8.05625e+06
0.00141918   8.07251e+06
0.00142245   8.0888e+06
0.00142573   8.10512e+06
0.00142902   8.12147e+06
0.00143232   8.13784e+06
0.00143562   8.15424e+06
0.00143893   8.17067e+06
0.00144225   8.18712e+06
0.00144557   8.20361e+06
0.00144891   8.22012e+06
0.00145225   8.23665e+06
0.0014556   8.25322e+06
0.00145895   8.26981e+06
0.00146232   8.28643e+06
0.00146569   8.30307e+06
0.00146907   8.31975e+06
0.00147245   8.33645e+06
0.00147585   8.35318e+06
0.00147925   8.36993e+06
0.00148266   8.38672e+06
0.00148608   8.40353e+06
0.00148951   8.42037e+06
0.00149294   8.43723e+06
0.00149639   8.45413e+06
0.00149984   8.47105e+06
0.0015033   8.488e+06
0.00150676   8.50498e+06
0.00151024   8.52198e+06
0.00151372   8.53901e+06
0.00151721   8.55607e+06
0.00152071   8.57316e+06
0.00152421   8.59027e+06
0.00152773   8.60741e+06
0.00153125   8.62458e+06
0.00153478   8.64178e+06
0.00153832   8.65901e+06
