# k[h/Mpc]  delta_P  P_classical  P_quantum
0.001  39555.9  5.90025e+06  5.93981e+06
0.00100231  39639  5.91266e+06  5.9523e+06
0.00100462  39722.2  5.9251e+06  5.96482e+06
0.00100693  39805.5  5.93756e+06  5.97736e+06
0.00100926  39889.1  5.95004e+06  5.98993e+06
0.00101158  39972.7  5.96255e+06  6.00252e+06
0.00101391  40056.6  5.97508e+06  6.01514e+06
0.00101625  40140.5  5.98763e+06  6.02777e+06
0.0010186  40224.7  6.00021e+06  6.04044e+06
0.00102094  40309  6.01281e+06  6.05312e+06
0.0010233  40393.4  6.02544e+06  6.06583e+06
0.00102566  40478  6.03809e+06  6.07856e+06
0.00102802  40562.8  6.05076e+06  6.09132e+06
0.00103039  40647.7  6.06346e+06  6.1041e+06
0.00103277  40732.8  6.07618e+06  6.11691e+06
0.00103515  40818.1  6.08892e+06  6.12974e+06
0.00103754  40903.5  6.10169e+06  6.14259e+06
0.00103993  40989  6.11448e+06  6.15547e+06
0.00104233  41074.8  6.1273e+06  6.16837e+06
0.00104473  41160.6  6.14014e+06  6.1813e+06
0.00104714  41246.7  6.153e+06  6.19425e+06
0.00104956  41332.9  6.16589e+06  6.20722e+06
0.00105198  41419.2  6.1788e+06  6.22022e+06
0.0010544  41505.8  6.19174e+06  6.23324e+06
0.00105683  41592.4  6.2047e+06  6.24629e+06
0.00105927  41679.3  6.21768e+06  6.25936e+06
0.00106171  41766.3  6.23069e+06  6.27246e+06
0.00106416  41853.4  6.24372e+06  6.28558e+06
0.00106661  41940.8  6.25678e+06  6.29872e+06
0.00106907  42028.3  6.26986e+06  6.31189e+06
0.00107154  42115.9  6.28297e+06  6.32509e+06
0.00107401  42203.7  6.2961e+06  6.3383e+06
0.00107649  42291.7  6.30925e+06  6.35155e+06
0.00107897  42379.8  6.32243e+06  6.36481e+06
0.00108146  42468.1  6.33564e+06  6.3781e+06
0.00108395  42556.5  6.34886e+06  6.39142e+06
0.00108645  42645.2  6.36212e+06  6.40476e+06
0.00108895  42733.9  6.37539e+06  6.41813e+06
0.00109146  42822.9  6.38869e+06  6.43152e+06
0.00109398  42912  6.40202e+06  6.44493e+06
0.0010965  43001.2  6.41537e+06  6.45837e+06
0.00109903  43090.7  6.42875e+06  6.47184e+06
0.00110157  43180.3  6.44215e+06  6.48533e+06
0.00110411  43270  6.45557e+06  6.49884e+06
0.00110665  43359.9  6.46902e+06  6.51238e+06
0.0011092  43450  6.48249e+06  6.52594e+06
