# r[Mpc/h]  xi_LS(r)  error  DD  DR  RR
5.45798  53.8537  27.4268  4  5  185
6.50362  7.29264  8.29264  1  11  311
7.74959  31.2587  12.1927  7  26  537
9.23427  25.2626  8.75421  9  32  864
11.0034  17.8816  5.693  11  64  1444
13.1114  8.79611  3.0978  10  113  2491
15.6233  5.22445  1.96834  10  155  4100
18.6165  2.346  1.11533  9  268  6808
22.183  2.55502  0.888756  16  440  11648
26.4329  1.24613  0.544767  17  757  19383
31.4969  1.09683  0.403535  27  1290  32966
37.5311  0.466057  0.267664  30  2090  54846
44.7214  0.217887  0.183603  44  3645  91972
53.2891  0.346662  0.148714  82  6097  151928
63.4983  0.20942  0.110404  120  9974  250239
75.6634  0.0898294  0.0812311  180  16511  411183
90.1591  -0.00242656  0.0605983  271  27061  671951
107.432  -0.0219841  0.0479512  416  43176  1091772
128.014  0.00473096  0.0381391  694  69660  1751243
152.539  0.00667579  0.0303662  1099  110197  2772877
181.762  0.0384399  0.0248164  1751  171114  4332014
216.585  -0.00520597  0.019884  2503  259011  6640274
258.078  -0.0555376  0.016117  3434  382196  9947296
307.521  0.0202036  0.0139155  5375  551273  14377544
366.436  -0.0169701  0.0115118  7292  768427  19802223
