# r[Mpc/h]   xi(r)
1   4679.96
1.24925   3857.17
1.4985   3267.31
1.74775   2831.29
1.997   2494.22
2.24625   2225.28
2.4955   2006.94
2.74474   1825.08
2.99399   1671.83
3.24324   1540.69
3.49249   1427.04
3.74174   1327.75
3.99099   1240
4.24024   1161.95
4.48949   1091.99
4.73874   1028.84
4.98799   971.582
5.23724   919.328
5.48649   871.46
5.73574   827.415
5.98498   786.717
6.23423   749.011
6.48348   713.942
6.73273   681.25
6.98198   650.694
7.23123   622.059
7.48048   595.183
7.72973   569.897
7.97898   546.073
8.22823   523.591
8.47748   502.339
8.72673   482.233
8.97598   463.18
9.22523   445.108
9.47447   427.952
9.72372   411.645
9.97297   396.138
10.2222   381.375
10.4715   367.313
10.7207   353.909
10.97   341.124
11.2192   328.924
11.4685   317.274
11.7177   306.144
11.967   295.508
12.2162   285.337
12.4655   275.608
12.7147   266.298
12.964   257.385
13.2132   248.85
13.4625   240.674
13.7117   232.839
13.961   225.329
14.2102   218.127
14.4595   211.22
14.7087   204.592
14.958   198.231
15.2072   192.124
15.4565   186.259
15.7057   180.625
15.955   175.211
16.2042   170.007
16.4535   165.003
16.7027   160.189
16.952   155.558
17.2012   151.1
17.4505   146.809
17.6997   142.675
17.9489   138.693
18.1982   134.855
18.4474   131.155
18.6967   127.587
18.9459   124.145
19.1952   120.824
19.4444   117.618
19.6937   114.521
19.9429   111.531
20.1922   108.641
20.4414   105.848
20.6907   103.148
20.9399   100.536
21.1892   98.0099
21.4384   95.5649
21.6877   93.198
21.9369   90.9061
22.1862   88.6861
22.4354   86.5352
22.6847   84.4506
22.9339   82.4295
23.1832   80.4697
23.4324   78.5686
23.6817   76.724
23.9309   74.9337
24.1802   73.1956
24.4294   71.5079
24.6787   69.8685
24.9279   68.2758
25.1772   66.7281
25.4264   65.2236
25.6757   63.761
25.9249   62.3386
26.1742   60.9552
26.4234   59.6093
26.6727   58.2996
26.9219   57.025
27.1712   55.7843
27.4204   54.5763
27.6697   53.4
27.9189   52.2542
28.1682   51.1382
28.4174   50.0508
28.6667   48.9912
28.9159   47.9585
29.1652   46.9518
29.4144   45.9704
29.6637   45.0134
29.9129   44.0802
30.1622   43.1699
30.4114   42.282
30.6607   41.4157
30.9099   40.5704
31.1592   39.7454
31.4084   38.9403
31.6577   38.1544
31.9069   37.3871
32.1562   36.638
32.4054   35.9065
32.6547   35.1921
32.9039   34.4944
33.1532   33.8129
33.4024   33.1471
33.6517   32.4967
33.9009   31.8612
34.1502   31.2401
34.3994   30.6332
34.6486   30.04
34.8979   29.4602
35.1471   28.8934
35.3964   28.3393
35.6456   27.7975
35.8949   27.2677
36.1441   26.7496
36.3934   26.2429
36.6426   25.7473
36.8919   25.2625
37.1411   24.7882
37.3904   24.3242
37.6396   23.8702
37.8889   23.426
38.1381   22.9912
38.3874   22.5658
38.6366   22.1493
38.8859   21.7417
39.1351   21.3427
39.3844   20.9521
39.6336   20.5696
39.8829   20.1952
40.1321   19.8285
40.3814   19.4694
40.6306   19.1178
40.8799   18.7734
41.1291   18.436
41.3784   18.1056
41.6276   17.7819
41.8769   17.4648
42.1261   17.1541
42.3754   16.8496
42.6246   16.5513
42.8739   16.2589
43.1231   15.9724
43.3724   15.6916
43.6216   15.4163
43.8709   15.1465
44.1201   14.882
44.3694   14.6227
44.6186   14.3685
44.8679   14.1192
45.1171   13.8748
45.3664   13.6351
45.6156   13.4001
45.8649   13.1696
46.1141   12.9435
46.3634   12.7218
46.6126   12.5043
46.8619   12.2909
47.1111   12.0816
47.3604   11.8762
47.6096   11.6748
47.8589   11.4771
48.1081   11.2832
48.3574   11.0928
48.6066   10.9061
48.8559   10.7228
49.1051   10.5429
49.3544   10.3663
49.6036   10.193
49.8529   10.0229
50.1021   9.8559
50.3514   9.69197
50.6006   9.53102
50.8498   9.37301
51.0991   9.21786
51.3483   9.06553
51.5976   8.91594
51.8468   8.76905
52.0961   8.62481
52.3453   8.48315
52.5946   8.34403
52.8438   8.20739
53.0931   8.07318
53.3423   7.94135
53.5916   7.81187
53.8408   7.68467
54.0901   7.55972
54.3393   7.43696
54.5886   7.31636
54.8378   7.19787
55.0871   7.08144
55.3363   6.96705
55.5856   6.85465
55.8348   6.74419
56.0841   6.63564
56.3333   6.52897
56.5826   6.42413
56.8318   6.3211
57.0811   6.21983
57.3303   6.12029
57.5796   6.02245
57.8288   5.92628
58.0781   5.83174
58.3273   5.7388
58.5766   5.64744
58.8258   5.55762
59.0751   5.46932
59.3243   5.3825
59.5736   5.29714
59.8228   5.21322
60.0721   5.13069
60.3213   5.04955
60.5706   4.96975
60.8198   4.89128
61.0691   4.81412
61.3183   4.73823
61.5676   4.6636
61.8168   4.59019
62.0661   4.518
62.3153   4.44699
62.5646   4.37714
62.8138   4.30843
63.0631   4.24085
63.3123   4.17437
63.5616   4.10897
63.8108   4.04463
64.0601   3.98134
64.3093   3.91906
64.5586   3.8578
64.8078   3.79752
65.0571   3.73822
65.3063   3.67986
65.5556   3.62245
65.8048   3.56595
66.0541   3.51036
66.3033   3.45565
66.5526   3.40182
66.8018   3.34885
67.0511   3.29671
67.3003   3.24541
67.5495   3.19491
67.7988   3.14522
68.048   3.0963
68.2973   3.04816
68.5465   3.00078
68.7958   2.95413
69.045   2.90822
69.2943   2.86303
69.5435   2.81854
69.7928   2.77475
70.042   2.73164
70.2913   2.6892
70.5405   2.64742
70.7898   2.60628
71.039   2.56579
71.2883   2.52592
71.5375   2.48666
71.7868   2.44801
72.036   2.40996
72.2853   2.37249
72.5345   2.3356
72.7838   2.29928
73.033   2.26351
73.2823   2.22829
73.5315   2.1936
73.7808   2.15945
74.03   2.12581
74.2793   2.09269
74.5285   2.06007
74.7778   2.02794
75.027   1.99631
75.2763   1.96515
75.5255   1.93446
75.7748   1.90423
76.024   1.87446
76.2733   1.84513
76.5225   1.81625
76.7718   1.7878
77.021   1.75978
77.2703   1.73217
77.5195   1.70498
77.7688   1.6782
78.018   1.65182
78.2673   1.62583
78.5165   1.60023
78.7658   1.57501
79.015   1.55016
79.2643   1.52568
79.5135   1.50157
79.7628   1.47781
80.012   1.45441
80.2613   1.43135
80.5105   1.40863
80.7598   1.38625
81.009   1.3642
81.2583   1.34247
81.5075   1.32106
81.7568   1.29996
82.006   1.27918
82.2553   1.25869
82.5045   1.23851
82.7538   1.21863
83.003   1.19903
83.2523   1.17972
83.5015   1.16069
83.7508   1.14194
84   1.12346
84.2492   1.10526
84.4985   1.08731
84.7477   1.06963
84.997   1.0522
85.2462   1.03503
85.4955   1.01811
85.7447   1.00143
85.994   0.984993
86.2432   0.968794
86.4925   0.952828
86.7417   0.937094
86.991   0.921585
87.2402   0.906301
87.4895   0.891236
87.7387   0.876388
87.988   0.861753
88.2372   0.847328
88.4865   0.833111
88.7357   0.819097
88.985   0.805284
89.2342   0.791669
89.4835   0.778248
89.7327   0.76502
89.982   0.751981
90.2312   0.739129
90.4805   0.72646
90.7297   0.713972
90.979   0.701663
91.2282   0.689529
91.4775   0.677568
91.7267   0.665778
91.976   0.654155
92.2252   0.642698
92.4745   0.631405
92.7237   0.620271
92.973   0.609296
93.2222   0.598477
93.4715   0.587811
93.7207   0.577297
93.97   0.566931
94.2192   0.556712
94.4685   0.546638
94.7177   0.536706
