# r[Mpc/h]   xi_quantum(r)
1   4584.26
1.24925   3862
1.4985   3267.28
1.74775   2827.4
1.997   2493.37
2.24625   2228.41
2.4955   2013.59
2.74474   1830.91
2.99399   1676.72
3.24324   1545.35
3.49249   1431.74
3.74174   1332.61
3.99099   1244.32
4.24024   1165.75
4.48949   1095.51
4.73874   1032.2
4.98799   974.868
5.23724   922.362
5.48649   874.254
5.73574   830.066
5.98498   789.277
6.23423   751.526
6.48348   716.343
6.73273   683.535
6.98198   652.904
7.23123   624.216
7.48048   597.306
7.72973   571.951
7.97898   548.051
8.22823   525.512
8.47748   504.212
8.72673   484.066
8.97598   464.955
9.22523   446.82
9.47447   429.61
9.72372   413.255
9.97297   397.706
10.2222   382.892
10.4715   368.775
10.7207   355.325
10.97   342.497
11.2192   330.259
11.4685   318.567
11.7177   307.394
11.967   296.72
12.2162   286.515
12.4655   276.756
12.7147   267.413
12.964   258.467
13.2132   249.903
13.4625   241.7
13.7117   233.841
13.961   226.304
14.2102   219.076
14.4595   212.144
14.7087   205.493
14.958   199.112
15.2072   192.983
15.4565   187.095
15.7057   181.44
15.955   176.005
16.2042   170.782
16.4535   165.759
16.7027   160.925
16.952   156.275
17.2012   151.8
17.4505   147.492
17.6997   143.342
17.9489   139.343
18.1982   135.49
18.4474   131.775
18.6967   128.193
18.9459   124.737
19.1952   121.401
19.4444   118.182
19.6937   115.073
19.9429   112.071
20.1922   109.17
20.4414   106.365
20.6907   103.654
20.9399   101.031
21.1892   98.4945
21.4384   96.0394
21.6877   93.662
21.9369   91.3603
22.1862   89.1307
22.4354   86.9707
22.6847   84.877
22.9339   82.8468
23.1832   80.8781
23.4324   78.9685
23.6817   77.1158
23.9309   75.3175
24.1802   73.5714
24.4294   71.8759
24.6787   70.2291
24.9279   68.6294
25.1772   67.0748
25.4264   65.5633
25.6757   64.094
25.9249   62.6652
26.1742   61.2756
26.4234   59.9237
26.6727   58.608
26.9219   57.3275
27.1712   56.0811
27.4204   54.8676
27.6697   53.6859
27.9189   52.5348
28.1682   51.4134
28.4174   50.3209
28.6667   49.2563
28.9159   48.2188
29.1652   47.2072
29.4144   46.221
29.6637   45.2594
29.9129   44.3217
30.1622   43.4071
30.4114   42.5148
30.6607   41.6442
30.9099   40.7948
31.1592   39.9659
31.4084   39.1569
31.6577   38.3671
31.9069   37.596
32.1562   36.8432
32.4054   36.1082
32.6547   35.3904
32.9039   34.6892
33.1532   34.0043
33.4024   33.3353
33.6517   32.6817
33.9009   32.043
34.1502   31.4189
34.3994   30.8089
34.6486   30.2127
34.8979   29.63
35.1471   29.0604
35.3964   28.5034
35.6456   27.9587
35.8949   27.4262
36.1441   26.9055
36.3934   26.3962
36.6426   25.898
36.8919   25.4107
37.1411   24.9339
37.3904   24.4676
37.6396   24.0112
37.8889   23.5647
38.1381   23.1277
38.3874   22.7
38.6366   22.2814
38.8859   21.8717
39.1351   21.4706
39.3844   21.0779
39.6336   20.6935
39.8829   20.317
40.1321   19.9485
40.3814   19.5875
40.6306   19.234
40.8799   18.8877
41.1291   18.5486
41.3784   18.2164
41.6276   17.8909
41.8769   17.5721
42.1261   17.2597
42.3754   16.9536
42.6246   16.6536
42.8739   16.3597
43.1231   16.0716
43.3724   15.7892
43.6216   15.5125
43.8709   15.2412
44.1201   14.9752
44.3694   14.7145
44.6186   14.4589
44.8679   14.2082
45.1171   13.9625
45.3664   13.7215
45.6156   13.4851
45.8649   13.2534
46.1141   13.026
46.3634   12.8031
46.6126   12.5844
46.8619   12.3698
47.1111   12.1593
47.3604   11.9528
47.6096   11.7502
47.8589   11.5514
48.1081   11.3563
48.3574   11.1649
48.6066   10.9771
48.8559   10.7928
49.1051   10.6118
49.3544   10.4342
49.6036   10.2599
49.8529   10.0888
50.1021   9.9209
50.3514   9.75603
50.6006   9.59414
50.8498   9.43521
51.0991   9.27917
51.3483   9.12597
51.5976   8.97552
51.8468   8.82777
52.0961   8.68269
52.3453   8.5402
52.5946   8.40028
52.8438   8.26284
53.0931   8.12784
53.3423   7.99523
53.5916   7.86498
53.8408   7.73704
54.0901   7.61135
54.3393   7.48785
54.5886   7.36652
54.8378   7.24732
55.0871   7.1302
55.3363   7.01513
55.5856   6.90204
55.8348   6.79091
56.0841   6.68171
56.3333   6.5744
56.5826   6.46893
56.8318   6.36526
57.0811   6.26338
57.3303   6.16324
57.5796   6.06481
57.8288   5.96806
58.0781   5.87294
58.3273   5.77944
58.5766   5.68752
58.8258   5.59716
59.0751   5.50832
59.3243   5.42097
59.5736   5.33508
59.8228   5.25063
60.0721   5.1676
60.3213   5.08596
60.5706   5.00566
60.8198   4.9267
61.0691   4.84905
61.3183   4.77269
61.5676   4.69759
61.8168   4.62371
62.0661   4.55106
62.3153   4.4796
62.5646   4.40932
62.8138   4.34018
63.0631   4.27217
63.3123   4.20526
63.5616   4.13945
63.8108   4.07471
64.0601   4.01101
64.3093   3.94834
64.5586   3.88669
64.8078   3.82603
65.0571   3.76634
65.3063   3.70762
65.5556   3.64984
65.8048   3.59297
66.0541   3.53702
66.3033   3.48196
66.5526   3.42779
66.8018   3.37446
67.0511   3.32199
67.3003   3.27034
67.5495   3.21952
67.7988   3.1695
68.048   3.12026
68.2973   3.0718
68.5465   3.0241
68.7958   2.97715
69.045   2.93094
69.2943   2.88545
69.5435   2.84067
69.7928   2.79658
70.042   2.75319
70.2913   2.71047
70.5405   2.66841
70.7898   2.627
71.039   2.58624
71.2883   2.5461
71.5375   2.50659
